"MatchType","Ctype","Desc","CrimeCat"
"cd","HOMICIDE","SC_UNEXPLAINED_DEATH","HOMICIDE_UNEXPLAINED"
"c","KIDNAPPING"," ","KIDNAPPING"
"cd","OTHER","KIDNAPPING","KIDNAPPING"
"d"," ","BURGLARY_FORCIBLE_ENTRY","LARCENY_BURGLARY"
"d",,"BURGLARY_NO_FORCE","LARCENY_BURGLARY"
"c","BURGLARY"," ","LARCENY_BURGLARY"
"d"," ","BURGLARY_AUTO","LARCENY_BURGLARY_AUTO"
"c","BURG___AUTO",,"LARCENY_BURGLARY_AUTO"
"cd","THEFT_LARCENY","BURGLARY_AUTO","LARCENY_BURGLARY_AUTO"
"c","BURG___COMMERCIAL"," ","LARCENY_BURGLARY_COMMERCIAL"
"c","BURG___OTHER",,"LARCENY_BURGLARY_OTHER"
"c","BURGLARY__OTHER",,"LARCENY_BURGLARY_OTHER"
"c","BURGLARY__UNSPECIFIED",,"LARCENY_BURGLARY_OTHER"
"c","BURG___RESIDENTIAL"," ","LARCENY_BURGLARY_RESIDENTIAL"
"d"," ","THEFT_BY_USE_OF_ACCESS_CARD","LARCENY_FORGERY-COUNTERFEIT"
"c","FORGERY___COUNTERFEITING"," ","LARCENY_FORGERY-COUNTERFEIT"
"cd","OTHER","USE_ANOTHER_S_PERSONAL_IDENTIFICATION_TO_OBTAIN_CREDIT_ETC_","LARCENY_FRAUD"
"c","FRAUD"," ","LARCENY_FRAUD"
"d",,"USE_ANOTHER_S_PERSONAL_IDENTIFICATION_TO_OBTAIN_CREDIT_ETC_","LARCENY_FRAUD"
"cd","THEFT_LARCENY","POSS_STOLEN_VEH_VES_ETC","LARCENY_POSSESSION"
"cd","POSSESSION___STOLEN_PROPERTY",,"LARCENY_POSSESSION"
"cd","THEFT_LARCENY","RECEIVE_ETC_KNOWN_STOLEN_PROPERTY","LARCENY_RECEIVED"
"d"," ","THEFT","LARCENY_THEFT"
"c","THEFT_LARCENY"," ","LARCENY_THEFT"
"d"," ","GRAND_THEFT","LARCENY_THEFT_GRAND"
"cd","GRAND_THEFT","GRAND_THEFT","LARCENY_THEFT_GRAND"
"cd","THEFT_LARCENY","GRAND_THEFT","LARCENY_THEFT_GRAND"
"cd","GRAND_THEFT","GRAND_THEFT_FROM_PERSON","LARCENY_THEFT_GRAND"
"cd","THEFT_LARCENY","GRAND_THEFT_FROM_PERSON","LARCENY_THEFT_GRAND"
"cd","GRAND_THEFT","GRAND_THEFT_MONEY_LABOR_PROPERTY__OVER__400","LARCENY_THEFT_GRAND"
"cd","THEFT_LARCENY","GRAND_THEFT_MONEY_LABOR_PROPERTY__OVER__400","LARCENY_THEFT_GRAND"
"c","GRAND_THEFT",,"LARCENY_THEFT_GRAND"
"d"," ","MAIL_ETC_THEFT_ETC","LARCENY_THEFT_PETTY"
"cd","THEFT_LARCENY","PETTY_THEFT","LARCENY_THEFT_PETTY"
"cd","THEFT_LARCENY","SHOPLIFT","LARCENY_THEFT_PETTY"
"c","PETTY_THEFT",,"LARCENY_THEFT_PETTY"
"c","MOTOR_VEHICLE_THEFT"," ","LARCENY_THEFT_VEHICLE"
"d",,"VEHICLE_THEFT___OTHER_VEHICLES","LARCENY_THEFT_VEHICLE"
"c","STOLEN_VEHICLE",,"LARCENY_THEFT_VEHICLE"
"d",,"ATTEMPT_VEHICLE_THEFT_AUTO","LARCENY_THEFT_VEHICLE_ATTEMPTED"
"d"," ","VEHICLE_THEFT___AUTO","LARCENY_THEFT_VEHICLE_AUTO"
"cd","MOTOR_VEHICLE_THEFT","VEHICLE_THEFT___AUTO","LARCENY_THEFT_VEHICLE_AUTO"
"cd","STOLEN_VEHICLE","VEHICLE_THEFT___AUTO","LARCENY_THEFT_VEHICLE_AUTO"
"d"," ","CARJACKING_WITH_FIREARM","LARCENY_THEFT_VEHICLE_CAR-JACKING"
"cd","ROBBERY","CARJACKING___STRONGARM","LARCENY_THEFT_VEHICLE_CAR-JACKING"
"cd","ROBBERY","CARJACKING_WITH_FIREARM","LARCENY_THEFT_VEHICLE_CAR-JACKING"
"cd","ROBBERY","CARJACKING_WITH_KNIFE","LARCENY_THEFT_VEHICLE_CAR-JACKING"
"cd","ROBBERY","CARJACKING_WITH_OTHER_DANGEROUS_WEAPON","LARCENY_THEFT_VEHICLE_CAR-JACKING"
"cd","ROBBERY","SC_CARJACKING___FIREARM","LARCENY_THEFT_VEHICLE_CAR-JACKING"
"c","RECOVERED_O_S_STOLEN",,"OTHER_RECOVERED"
"d"," ","RUNAWAY_JUVENILE","OTHER_RUNAWAY"
