"PC0","Freq","CrimeCat"
"288a(2)(a)",1,"SEX"
"288a(c)(3)",1,"SEX"
"288pc-lewd",1,"SEX"
"29800(a)(1)",16,"COURT_WARRANT"
"417",1,"WEAPONS"
"417.3",2,"WEAPONS"
"417(a)",1,"WEAPONS"
"417(a)(1)",2,"WEAPONS"
"417(a)(2)",11,"WEAPONS"
"417(a)(2)(b)",1,"WEAPONS"
"422",13,"ASSAULT_THREATS"
"451",13,"ARSON"
"451(b)",3,"ARSON"
"451(d)",1,"ARSON"
"459",82,"(entry)"
"487",37,"LARCENY_THEFT_GRAND"
"487(a)",1,"LARCENY_THEFT_GRAND"
"487(c)",13,"LARCENY_THEFT_GRAND"
"487(d)",1,"LARCENY_THEFT_GRAND"
"487c",2,"LARCENY_THEFT_GRAND"
"664",497,"(attempt)"
"901",85,"(901)"
"901-traffic",1,"(901)"
"901(a)",3,"(901)"
"901(with",1,"(901)"
"901a",12,"(901)"
"901c",29,"(901)"
"901city",1,"(901)"
"901cp",17,"(901)"
